id	,name,country_id,country_code,state_code
4023,Andaman and Nicobar Islands,101,IN,AN
4017,Andhra Pradesh,101,IN,AP
4024,Arunachal Pradesh,101,IN,AR
4027,Assam,101,IN,AS
4037,Bihar,101,IN,BR
4031,Chandigarh,101,IN,CH
4040,Chhattisgarh,101,IN,CT
4033,Dadra and Nagar Haveli and Daman and Diu,101,IN,DH
4021,Delhi,101,IN,DL
4009,Goa,101,IN,GA
4030,Gujarat,101,IN,GJ
4007,Haryana,101,IN,HR
4020,Himachal Pradesh,101,IN,HP
4029,Jammu and Kashmir,101,IN,JK
4025,Jharkhand,101,IN,JH
4026,Karnataka,101,IN,KA
4028,Kerala,101,IN,KL
4852,Ladakh,101,IN,LA
4019,Lakshadweep,101,IN,LD
4039,Madhya Pradesh,101,IN,MP
4008,Maharashtra,101,IN,MH
4010,Manipur,101,IN,MN
4006,Meghalaya,101,IN,ML
4036,Mizoram,101,IN,MZ
4018,Nagaland,101,IN,NL
4013,Odisha,101,IN,OR
4011,Puducherry,101,IN,PY
4015,Punjab,101,IN,PB
4014,Rajasthan,101,IN,RJ
4034,Sikkim,101,IN,SK
4035,Tamil Nadu,101,IN,TN
4012,Telangana,101,IN,TG
4038,Tripura,101,IN,TR
4022,Uttar Pradesh,101,IN,UP
4016,Uttarakhand,101,IN,UK
4853,West Bengal,101,IN,WB
